"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
1,"SP-W1","NA","0:0:16",1,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 15:50:45","15/02/2019 15:51:01","467b712f6f3dd1baad34f7b11b75f7d1"
2,"SP-W1","NA","0:0:1",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 15:51:21","15/02/2019 15:51:22","467b712f6f3dd1baad34f7b11b75f7d1"
3,"SP-W1","NA","0:0:1",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 15:51:51","15/02/2019 15:51:52","467b712f6f3dd1baad34f7b11b75f7d1"
4,"SP-W1","NA","0:0:1",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 15:52:21","15/02/2019 15:52:22","467b712f6f3dd1baad34f7b11b75f7d1"
5,"SP-W1","NA","0:0:27",1,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 15:55:59","15/02/2019 15:56:26","467b712f6f3dd1baad34f7b11b75f7d1"
6,"SP-W1","NA","0:0:2",8,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 15:56:54","15/02/2019 15:56:56","467b712f6f3dd1baad34f7b11b75f7d1"
1,"SP-D17-18","upper","0:30:26",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 19:35:41","15/02/2019 20:06:07","ae7d7950ed68a29b627719c0723f0ca0"
2,"SP-D17-18","lower","0:30:25",8,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 19:35:42","15/02/2019 20:06:07","ae7d7950ed68a29b627719c0723f0ca0"
3,"SP-D17-18","upper","0:0:2",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:06:29","15/02/2019 20:06:31","ae7d7950ed68a29b627719c0723f0ca0"
4,"SP-D17-18","lower","0:0:2",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:06:29","15/02/2019 20:06:31","ae7d7950ed68a29b627719c0723f0ca0"
5,"SP-D17-18","upper","0:0:2",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:06:59","15/02/2019 20:07:01","ae7d7950ed68a29b627719c0723f0ca0"
