"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
33,"SP-D17-18","upper","0:0:38",0,0,0,0,0,0,"SUCCESS","04/03/2019","04/03/2019 00:12:07","04/03/2019 00:12:45","ae7d7950ed68a29b627719c0723f0ca0"
34,"SP-D17-18","lower","0:0:38",8,0,0,0,0,0,"SUCCESS","04/03/2019","04/03/2019 00:12:07","04/03/2019 00:12:45","ae7d7950ed68a29b627719c0723f0ca0"
35,"SP-D17-18","upper","0:1:59",0,0,0,0,0,0,"SUCCESS","04/03/2019","04/03/2019 00:13:14","04/03/2019 00:15:13","ae7d7950ed68a29b627719c0723f0ca0"
36,"SP-D17-18","lower","0:1:59",8,0,0,0,0,0,"SUCCESS","04/03/2019","04/03/2019 00:13:14","04/03/2019 00:15:13","ae7d7950ed68a29b627719c0723f0ca0"
37,"SP-D17-18","upper","0:0:1",0,0,0,0,0,0,"SUCCESS","04/03/2019","04/03/2019 00:15:42","04/03/2019 00:15:43","ae7d7950ed68a29b627719c0723f0ca0"
38,"SP-D17-18","lower","0:0:1",0,0,0,0,0,0,"SUCCESS","04/03/2019","04/03/2019 00:15:42","04/03/2019 00:15:43","ae7d7950ed68a29b627719c0723f0ca0"
39,"SP-D17-18","upper","0:0:20",3,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 21:30:03","11/03/2019 21:30:23","ae7d7950ed68a29b627719c0723f0ca0"
40,"SP-D17-18","lower","0:0:21",5,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 21:30:03","11/03/2019 21:30:24","ae7d7950ed68a29b627719c0723f0ca0"
41,"SP-D17-18","upper","0:0:1",0,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 21:30:52","11/03/2019 21:30:53","ae7d7950ed68a29b627719c0723f0ca0"
42,"SP-D17-18","lower","0:0:1",0,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 21:30:52","11/03/2019 21:30:53","ae7d7950ed68a29b627719c0723f0ca0"
18,"SP-V1","NA",0,24,0,0,20,21,20,"SUCCESS","11/03/2019","11/03/2019 21:36:47","NA","e15ceae8fa62a160cebe0a1644e6116c"
19,"SP-V1","NA",0,12,0,0,10,10,10,"SUCCESS","11/03/2019","11/03/2019 21:40:14","NA","e15ceae8fa62a160cebe0a1644e6116c"
20,"SP-V1","NA",0,7,0,0,6,6,6,"SUCCESS","11/03/2019","11/03/2019 21:50:05","NA","e15ceae8fa62a160cebe0a1644e6116c"
21,"SP-V1","NA",0,14,0,0,11,11,11,"SUCCESS","11/03/2019","11/03/2019 21:53:22","NA","e15ceae8fa62a160cebe0a1644e6116c"
24,"SP-V1","NA",0,18,0,0,15,16,15,"SUCCESS","11/03/2019","11/03/2019 22:06:10","NA","e15ceae8fa62a160cebe0a1644e6116c"
55,"SP-W1","NA","0:0:1",18,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 22:16:26","11/03/2019 22:16:27","467b712f6f3dd1baad34f7b11b75f7d1"
43,"SP-D17-18","upper","0:0:18",6,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 22:19:14","11/03/2019 22:19:32","ae7d7950ed68a29b627719c0723f0ca0"
44,"SP-D17-18","lower","0:0:18",2,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 22:19:14","11/03/2019 22:19:32","ae7d7950ed68a29b627719c0723f0ca0"
56,"SP-W1","NA","0:0:2",9,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 22:21:26","11/03/2019 22:21:28","467b712f6f3dd1baad34f7b11b75f7d1"
25,"SP-V1","NA",0,17,0,0,6,16,5,"SUCCESS","11/03/2019","11/03/2019 22:23:46","NA","e15ceae8fa62a160cebe0a1644e6116c"
45,"SP-D17-18","lower","0:0:18",2,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 22:33:20","11/03/2019 22:33:38","ae7d7950ed68a29b627719c0723f0ca0"
46,"SP-D17-18","lower","0:0:19",0,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 22:34:39","11/03/2019 22:34:58","ae7d7950ed68a29b627719c0723f0ca0"
