"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
1,"PJCC-D19","NA","0:29:47",6,0,0,0,0,0,"SUCCESS","31/12/2018","31/12/2018 23:17:42","31/12/2018 23:47:29","c5cfc517543121b12cec4848bbdb2b43"
1,"PJCC-D17","NA","0:34:46",7,0,0,0,0,0,"SUCCESS","31/12/2018","31/12/2018 23:20:01","31/12/2018 23:54:47","40c2a7e3bcdcb1c73c03d845cebe497a"
1,"PJCC-W3","NA","0:24:14",4,0,0,0,0,0,"SUCCESS","01/01/2019","31/12/2018 23:43:29","01/01/2019 00:07:43","7ce10970545f2bd2bb77388f95c4fa65"
1,"PJCC-D29-30","upper","0:29:44",10,0,0,0,0,0,"SUCCESS","01/01/2019","31/12/2018 23:41:38","01/01/2019 00:11:22","271d6088283749c5d65c5428c0c967a9"
2,"PJCC-D17","NA","0:24:43",5,0,0,0,0,0,"SUCCESS","01/01/2019","31/12/2018 23:56:55","01/01/2019 00:21:38","40c2a7e3bcdcb1c73c03d845cebe497a"
1,"PJCC-W22","NA","0:25:46",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 09:25:26","01/01/2019 09:51:12","301b33a5742e1a5fc36a572f0126c245"
2,"PJCC-W3","NA","0:24:16",4,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 09:27:21","01/01/2019 09:51:37","7ce10970545f2bd2bb77388f95c4fa65"
1,"PJCC-W4","NA","0:24:16",4,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 09:27:25","01/01/2019 09:51:41","583f39fc2ca046563574510e34b345ef"
1,"PJCC-D23","NA","0:24:45",5,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 09:52:51","01/01/2019 10:17:36","e1c98e44e2af2b1d3cc1c36c45e08000"
1,"PJCC-W26","NA","0:25:35",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 10:39:43","01/01/2019 11:05:18","e531eb81634fd5bd542643139fab6d34"
1,"PJCC-W25","NA","0:25:35",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 10:46:11","01/01/2019 11:11:46","e92b1ad5c195c747a7d2a0845204d8f7"
2,"PJCC-W26","NA","0:25:37",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 11:10:24","01/01/2019 11:36:01","e531eb81634fd5bd542643139fab6d34"
2,"PJCC-D29-30","upper","0:29:45",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 11:08:49","01/01/2019 11:38:34","271d6088283749c5d65c5428c0c967a9"
3,"PJCC-W3","NA","0:24:15",4,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 11:49:12","01/01/2019 12:13:27","7ce10970545f2bd2bb77388f95c4fa65"
1,"PJCC-W24","NA","0:25:47",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 11:50:13","01/01/2019 12:16:00","85520fd664e3dbcb2bef677543dcaf23"
2,"PJCC-D23","NA","0:24:46",5,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 12:17:46","01/01/2019 12:42:32","e1c98e44e2af2b1d3cc1c36c45e08000"
2,"PJCC-D19","NA","0:24:45",5,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 12:38:21","01/01/2019 13:03:06","c5cfc517543121b12cec4848bbdb2b43"
3,"PJCC-D17","NA","0:29:45",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 12:48:43","01/01/2019 13:18:28","40c2a7e3bcdcb1c73c03d845cebe497a"
2,"PJCC-W24","NA","0:25:48",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 13:17:50","01/01/2019 13:43:38","85520fd664e3dbcb2bef677543dcaf23"
4,"PJCC-W3","NA","0:24:18",5,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 13:24:28","01/01/2019 13:48:46","7ce10970545f2bd2bb77388f95c4fa65"
4,"PJCC-D17","NA","0:39:45",8,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 13:58:24","01/01/2019 14:38:09","40c2a7e3bcdcb1c73c03d845cebe497a"
3,"PJCC-D19","NA","0:29:46",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 14:09:25","01/01/2019 14:39:11","c5cfc517543121b12cec4848bbdb2b43"
5,"PJCC-D17","NA","0:24:46",5,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 14:55:46","01/01/2019 15:20:32","40c2a7e3bcdcb1c73c03d845cebe497a"
4,"PJCC-D19","NA","0:24:46",5,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 14:55:47","01/01/2019 15:20:33","c5cfc517543121b12cec4848bbdb2b43"
3,"PJCC-W26","NA","0:25:35",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 15:03:31","01/01/2019 15:29:06","e531eb81634fd5bd542643139fab6d34"
2,"PJCC-W25","NA","0:25:34",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 15:04:01","01/01/2019 15:29:35","e92b1ad5c195c747a7d2a0845204d8f7"
3,"PJCC-W24","NA","0:25:46",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 15:31:59","01/01/2019 15:57:45","85520fd664e3dbcb2bef677543dcaf23"
1,"PJCC-D19","NA","0:24:47",5,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 15:38:09","01/01/2019 16:02:56","c5cfc517543121b12cec4848bbdb2b43"
1,"PJCC-D17","NA","0:24:46",5,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 15:38:20","01/01/2019 16:03:06","40c2a7e3bcdcb1c73c03d845cebe497a"
1,"PJCC-W26","NA","0:25:38",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 15:45:20","01/01/2019 16:10:58","e531eb81634fd5bd542643139fab6d34"
1,"PJCC-D23","NA","0:24:47",5,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 16:03:55","01/01/2019 16:28:42","e1c98e44e2af2b1d3cc1c36c45e08000"
2,"PJCC-D19","NA","0:29:47",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 16:18:49","01/01/2019 16:48:36","c5cfc517543121b12cec4848bbdb2b43"
2,"PJCC-D17","NA","0:29:46",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 16:19:35","01/01/2019 16:49:21","40c2a7e3bcdcb1c73c03d845cebe497a"
1,"PJCC-W4","NA","0:24:19",4,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 16:37:20","01/01/2019 17:01:39","583f39fc2ca046563574510e34b345ef"
2,"PJCC-W26","NA","0:25:35",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 17:42:28","01/01/2019 18:08:03","e531eb81634fd5bd542643139fab6d34"
1,"PJCC-W25","NA","0:25:35",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 17:42:56","01/01/2019 18:08:31","e92b1ad5c195c747a7d2a0845204d8f7"
1,"PJCC-W3","NA","0:24:14",4,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 17:45:40","01/01/2019 18:09:54","7ce10970545f2bd2bb77388f95c4fa65"
2,"PJCC-D23","NA","0:24:45",5,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 18:22:00","01/01/2019 18:46:45","e1c98e44e2af2b1d3cc1c36c45e08000"
3,"PJCC-D17","NA","0:24:44",5,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 18:33:33","01/01/2019 18:58:17","40c2a7e3bcdcb1c73c03d845cebe497a"
1,"PJCC-D29-30","upper","0:29:44",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 18:30:42","01/01/2019 19:00:26","271d6088283749c5d65c5428c0c967a9"
4,"PJCC-D17","NA","0:29:46",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 19:41:00","01/01/2019 20:10:46","40c2a7e3bcdcb1c73c03d845cebe497a"
3,"PJCC-W26","NA","0:25:37",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 20:27:50","01/01/2019 20:53:27","e531eb81634fd5bd542643139fab6d34"
2,"PJCC-W25","NA","0:25:35",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 20:28:11","01/01/2019 20:53:46","e92b1ad5c195c747a7d2a0845204d8f7"
1,"PJCC-W22","NA","0:25:47",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 20:34:51","01/01/2019 21:00:38","301b33a5742e1a5fc36a572f0126c245"
1,"PJCC-W24","NA","0:25:48",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 20:35:41","01/01/2019 21:01:29","85520fd664e3dbcb2bef677543dcaf23"
5,"PJCC-D17","NA","0:29:47",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 20:35:17","01/01/2019 21:05:04","40c2a7e3bcdcb1c73c03d845cebe497a"
3,"PJCC-D19","NA","0:29:47",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 20:56:22","01/01/2019 21:26:09","c5cfc517543121b12cec4848bbdb2b43"
3,"PJCC-D23","NA","0:29:47",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 20:58:21","01/01/2019 21:28:08","e1c98e44e2af2b1d3cc1c36c45e08000"
3,"PJCC-W25","NA","0:25:37",10,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 21:14:50","01/01/2019 21:40:27","e92b1ad5c195c747a7d2a0845204d8f7"
6,"PJCC-D17","NA","0:39:46",8,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 21:24:01","01/01/2019 22:03:47","40c2a7e3bcdcb1c73c03d845cebe497a"
2,"PJCC-W24","NA","0:25:46",7,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 21:40:25","01/01/2019 22:06:11","85520fd664e3dbcb2bef677543dcaf23"
4,"PJCC-D23","NA","0:29:46",6,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 21:46:08","01/01/2019 22:15:54","e1c98e44e2af2b1d3cc1c36c45e08000"
2,"PJCC-W3","NA","0:24:14",4,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 21:52:49","01/01/2019 22:17:03","7ce10970545f2bd2bb77388f95c4fa65"
2,"PJCC-D29-30","upper","0:26:45",9,0,0,0,0,0,"SUCCESS","01/01/2019","01/01/2019 22:13:37","01/01/2019 22:40:22","271d6088283749c5d65c5428c0c967a9"
1,"PJCC-D23","NA","0:24:45",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 01:00:34","02/01/2019 01:25:19","e1c98e44e2af2b1d3cc1c36c45e08000"
1,"PJCC-W25","NA","0:25:33",14,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 02:16:01","02/01/2019 02:41:34","e92b1ad5c195c747a7d2a0845204d8f7"
1,"PJCC-D19","NA","0:24:45",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 02:43:58","02/01/2019 03:08:43","c5cfc517543121b12cec4848bbdb2b43"
1,"PJCC-W22","NA","0:25:45",6,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 09:17:21","02/01/2019 09:43:06","301b33a5742e1a5fc36a572f0126c245"
1,"PJCC-D17","NA","0:39:46",8,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 09:45:18","02/01/2019 10:25:04","40c2a7e3bcdcb1c73c03d845cebe497a"
1,"PJCC-W4","NA","0:24:17",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 10:06:19","02/01/2019 10:30:36","583f39fc2ca046563574510e34b345ef"
1,"PJCC-W3","NA","0:24:18",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 10:06:34","02/01/2019 10:30:52","7ce10970545f2bd2bb77388f95c4fa65"
2,"PJCC-D23","NA","0:24:46",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 10:06:37","02/01/2019 10:31:23","e1c98e44e2af2b1d3cc1c36c45e08000"
1,"PJCC-D29-30","upper","0:35:48",12,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 10:34:46","02/01/2019 11:10:34","271d6088283749c5d65c5428c0c967a9"
3,"PJCC-D23","NA","0:34:46",7,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 11:15:05","02/01/2019 11:49:51","e1c98e44e2af2b1d3cc1c36c45e08000"
2,"PJCC-W25","NA","0:25:36",0,10,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 13:19:20","02/01/2019 13:44:56","e92b1ad5c195c747a7d2a0845204d8f7"
2,"PJCC-W3","NA","0:24:15",4,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 14:06:30","02/01/2019 14:30:45","7ce10970545f2bd2bb77388f95c4fa65"
3,"PJCC-W3","NA","0:24:14",4,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 14:59:25","02/01/2019 15:23:39","7ce10970545f2bd2bb77388f95c4fa65"
2,"PJCC-D29-30","upper","0:29:46",10,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 15:08:15","02/01/2019 15:38:01","271d6088283749c5d65c5428c0c967a9"
