"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
1,"SP-W1","NA","0:1:25",18,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 10:23:32","06/01/2019 10:24:57","467b712f6f3dd1baad34f7b11b75f7d1"
2,"SP-W1","NA","0:1:26",27,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 10:34:54","06/01/2019 10:36:20","467b712f6f3dd1baad34f7b11b75f7d1"
3,"SP-W1","NA","0:1:25",36,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 10:43:56","06/01/2019 10:45:21","467b712f6f3dd1baad34f7b11b75f7d1"
1,"SP-W1","NA","0:1:25",9,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 10:50:56","06/01/2019 10:52:21","467b712f6f3dd1baad34f7b11b75f7d1"
2,"SP-W1","NA","0:1:25",9,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 10:53:12","06/01/2019 10:54:37","467b712f6f3dd1baad34f7b11b75f7d1"
3,"SP-W1","NA","0:1:25",9,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 10:55:29","06/01/2019 10:56:54","467b712f6f3dd1baad34f7b11b75f7d1"
4,"SP-W1","NA","0:1:25",9,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 10:57:45","06/01/2019 10:59:10","467b712f6f3dd1baad34f7b11b75f7d1"
5,"SP-W1","NA","0:1:25",4,0,5,0,0,0,"SUCCESS","06/01/2019","06/01/2019 11:04:27","06/01/2019 11:05:52","467b712f6f3dd1baad34f7b11b75f7d1"
6,"SP-W1","NA","0:1:25",9,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 11:06:43","06/01/2019 11:08:08","467b712f6f3dd1baad34f7b11b75f7d1"
7,"SP-W1","NA","0:1:25",9,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 11:09:00","06/01/2019 11:10:25","467b712f6f3dd1baad34f7b11b75f7d1"
8,"SP-W1","NA","0:1:25",9,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 11:11:16","06/01/2019 11:12:41","467b712f6f3dd1baad34f7b11b75f7d1"
1,"SP-D17-18","upper","0:1:11",5,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 11:35:16","06/01/2019 11:36:27","ae7d7950ed68a29b627719c0723f0ca0"
2,"SP-D17-18","lower","0:1:7",3,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 11:35:34","06/01/2019 11:36:41","ae7d7950ed68a29b627719c0723f0ca0"
3,"SP-D17-18","upper","0:1:27",0,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 11:36:32","06/01/2019 11:37:59","ae7d7950ed68a29b627719c0723f0ca0"
4,"SP-D17-18","lower","0:1:10",8,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 11:37:13","06/01/2019 11:38:23","ae7d7950ed68a29b627719c0723f0ca0"
5,"SP-D17-18","upper","0:1:27",0,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 11:38:03","06/01/2019 11:39:30","ae7d7950ed68a29b627719c0723f0ca0"
6,"SP-D17-18","lower","0:1:10",8,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 11:38:54","06/01/2019 11:40:04","ae7d7950ed68a29b627719c0723f0ca0"
7,"SP-D17-18","upper","0:1:28",0,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 11:39:34","06/01/2019 11:41:02","ae7d7950ed68a29b627719c0723f0ca0"
8,"SP-D17-18","lower","0:1:10",8,0,0,0,0,0,"SUCCESS","06/01/2019","06/01/2019 11:40:36","06/01/2019 11:41:46","ae7d7950ed68a29b627719c0723f0ca0"
2,"SP-V1","NA",0,24,0,0,16,10,12,"SUCCESS","06/01/2019","06/01/2019 15:35:02","NA","e15ceae8fa62a160cebe0a1644e6116c"
3,"SP-V1","NA",0,6,0,0,2,4,2,"SUCCESS","06/01/2019","06/01/2019 15:38:04","NA","e15ceae8fa62a160cebe0a1644e6116c"
